Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,90s,Gls,Ast,xG,xA
James Ward-Prowse,eng ENG,MF,27-162,28.7,14,23,7,125,250,69,78.8,92.7,88.1,45.2,70,358,1093,642,20,29,29,"2,585",7,4,3.9,5.5,0.13
Oriol Romeu,es ESP,MF,30-200,26.8,20,39,10,150,245,60,84.3,87.5,86.8,76.6,76,405,1076,357,40,29,29,"2,412",1,1,0.9,2.4,0.03
Mohammed Salisu,gh GHA,DF,22-360,28,53,20,3,169,98,17,77.5,85.5,85,49.3,253,931,964,158,31,29,28,"2,522",0,0,1.7,0.5,0.06
Jan Bednarek,pl POL,DF,26-000,24.2,20,12,1,100,94,5,83.4,91.1,90.1,57.1,198,720,783,68,29,26,25,"2,179",3,0,2.2,0.6,0.09
Valentino Livramento,eng ENG,DF,19-151,24,31,17,5,160,125,43,76.4,88.8,74.5,49.6,82,407,681,471,48,25,24,"2,157",1,1,1.1,2.3,0.05
Kyle Walker-Peters,eng ENG,DF,24-364,22.3,22,22,8,102,115,59,79.5,88,82,55.5,69,322,662,518,74,25,22,"2,011",1,2,0.7,2.8,0.03
Che Adams,sct SCO,FW,25-273,20.3,3,6,5,36,112,142,68.6,77.4,74.3,52.3,26,85,287,334,91,25,21,"1,823",7,3,6.3,2.5,0.31
Mohamed Elyounoussi,no NOR,MF,27-251,18.8,12,23,5,109,197,93,70.5,81.5,70.9,40,24,112,363,413,88,24,19,"1,689",4,1,5.6,1.9,0.3
Armando Broja,al ALB,FW,20-214,17.8,3,5,4,27,96,168,60.8,68.1,52.1,30,11,42,253,318,88,26,17,"1,603",6,0,6.5,1,0.37
Nathan Redmond,eng ENG,"MF,FW",28-037,15.1,4,6,3,64,105,99,70.2,82.3,69.8,42,20,88,306,339,39,20,15,"1,357",0,5,1.8,3.6,0.12
Alex McCarthy,eng ENG,GK,32-130,15,0,0,0,0,0,0,60.9,100,98.5,35.4,397,480,4,0,0,15,15,"1,350",0,0,0,0,0
Adam Armstrong,eng ENG,"FW,MF",25-061,14,3,3,3,21,80,109,70.9,77.5,76.5,50,6,38,176,261,72,21,15,"1,261",2,2,4.1,1.7,0.29
Fraser Forster,eng ENG,GK,34-026,14,0,0,0,3,0,0,58.5,97.3,98.2,39.6,412,507,2,0,0,14,14,"1,260",0,0,0,0,0
Romain Perraud,fr FRA,DF,24-202,13.4,12,9,5,96,85,49,65.7,85.7,64.7,20,38,183,292,269,22,15,14,"1,209",0,1,0.7,0.5,0.05
Stuart Armstrong,sct SCO,MF,30-013,12,10,4,5,49,88,45,80.4,83.5,86.1,66,18,97,336,332,42,18,11,"1,084",2,0,2.5,1,0.2
Ibrahima Diallo,fr FRA,MF,23-035,9.9,12,7,4,58,97,35,81.1,83,86.6,69.2,17,80,288,131,10,21,8,890,0,2,0.5,0.9,0.05
Jack Stephens,eng ENG,DF,28-075,7,8,7,2,40,24,6,79.6,92.9,84.8,56.8,58,229,229,17,3,9,7,631,0,0,0,0.3,0
Nathan Tella,eng ENG,"MF,FW",22-281,6.6,3,5,0,35,90,70,61.2,82.1,57.1,23.5,7,42,116,126,20,11,7,590,0,0,0.5,0.7,0.07
Lyanco,br BRA,DF,25-070,6.1,6,4,0,36,32,0,70.2,89.5,87,31.3,54,164,147,17,5,11,5,551,0,0,0.2,0.1,0.03
Moussa Djenepo,ml MLI,MF,23-301,4.9,6,6,1,46,36,18,73.4,85.3,70.7,58.8,7,46,95,114,27,11,5,438,0,0,1.5,0.2,0.3
Theo Walcott,eng ENG,"MF,FW",33-027,4.2,2,1,2,20,35,24,70.9,83.7,68.8,50,3,27,46,63,18,9,5,379,0,0,0.7,0,0.17
Willy Caballero,ar ARG,GK,40-196,2,0,0,0,0,0,0,66.1,100,100,51.2,54,68,0,0,0,2,2,180,0,0,0,0,0
William Smallbone,ie IRL,"MF,FW",22-050,1.5,3,3,0,10,20,15,57.1,75,50,33.3,2,12,21,22,4,3,2,132,0,0,0.1,0.1,0.05
Yan Valery,fr FRA,DF,23-049,2.1,2,0,1,8,11,3,70.3,83.8,73,33.3,8,36,61,22,0,3,1,190,0,0,0,0.1,0.02
Shane Long,ie IRL,"FW,MF",35-080,1.6,1,3,2,5,13,27,57.5,63.3,50,0,1,6,23,48,5,9,1,141,1,0,0.6,0,0.38
Squad Total,,,26.3,31,250,225,76,1469,2048,1156,75.7,86.1,82.4,48.6,1911,5485,8304,5040,776,31,341,"2,790",35,22,41.3,28.8,1.33
Opponent Total,,,27.6,31,311,233,75,1629,2148,1092,77.2,85.2,83.8,57.4,2253,6527,8233,4865,755,31,341,"2,790",51,36,46.1,34.2,1.49
