Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
José Sá,pt POR,GK,29-085,32,1,0,0,9,0,0,67.4,100,98.5,44.9,956,1027,9,0,0,32,32,"2,880",0,1,0,1
Conor Coady,eng ENG,DF,29-046,31.8,18,7,1,110,56,5,89.8,94.1,95.6,79.2,382,1083,567,30,16,32,32,"2,866",3,0,1.8,0
Max Kilman,eng ENG,DF,24-324,29.9,40,13,0,160,70,11,86.7,91.3,92.1,69.4,214,950,844,105,22,30,30,"2,687",1,0,1,0
Romain Saïss,ma MAR,DF,32-017,27.4,35,15,3,145,88,18,82.4,90.6,88.7,61.4,281,1101,777,115,32,28,28,"2,468",2,0,2.3,0.2
João Moutinho,pt POR,MF,35-216,27.1,32,27,8,200,252,51,84.5,88.9,89.9,72.6,66,458,1069,408,5,29,28,"2,436",2,1,0.9,2.2
Rúben Neves,pt POR,MF,25-030,25.2,30,26,6,176,255,44,82.4,84.9,89.2,74.2,89,504,1191,349,8,28,26,"2,270",4,2,1.1,1.7
Raúl Jiménez,mx MEX,FW,30-342,23.9,4,15,9,36,186,139,70.4,76.6,78,50.8,28,91,563,406,119,28,25,"2,155",6,3,6,2
Nélson Semedo,pt POR,DF,28-147,22.1,37,14,4,168,122,56,78.5,90.2,81.8,36.7,92,401,580,486,52,23,23,"1,989",0,1,1.3,1.1
Hwang Hee-chan,kr KOR,"FW,MF",26-076,16.2,9,16,2,48,111,70,82,84.7,88.1,72.7,13,117,371,269,57,24,17,"1,454",5,1,3.2,1.3
Fernando Marçal,br BRA,DF,33-052,16.1,29,10,3,127,83,31,77.8,89.2,82.3,46.5,74,366,443,346,25,18,17,"1,449",0,0,0.5,0.7
Leander Dendoncker,be BEL,MF,26-362,16.7,19,17,1,151,171,39,86.8,88,90.2,83.8,54,237,422,191,28,25,16,"1,501",1,2,1.7,0.9
Francisco Trincão,pt POR,"FW,MF",22-104,14.3,9,11,7,74,167,92,76.9,85.9,83.8,56.9,2,83,311,325,48,24,16,"1,290",1,1,3,1.2
Daniel Podence,pt POR,"FW,MF",26-173,16.3,9,6,4,50,104,96,73.1,81.9,74.5,58.4,2,104,386,419,57,25,15,"1,468",2,3,1.9,3.7
Rayan Aït Nouri,fr FRA,DF,20-310,15.3,44,10,4,182,88,47,74.3,91.3,78.5,42.5,48,344,377,309,37,18,15,"1,378",0,2,0.4,1.2
Adama Traoré,es ESP,FW,26-077,11.9,7,2,3,37,69,35,74.5,78.6,75.2,75.6,5,57,232,279,56,20,10,"1,067",1,0,2.4,1.7
Jonny Castro,es ESP,DF,28-040,6,6,6,0,44,35,16,81.9,88.5,84.2,67.5,5,91,227,123,13,7,5,536,2,0,0.7,0.6
Fábio Silva,pt POR,FW,19-267,4.9,0,3,3,7,65,43,72.4,84.1,76,60,1,10,87,91,32,19,4,444,0,0,2,0.1
Willy Boly,ci CIV,DF,31-068,4,5,2,0,17,10,1,82,93.4,88.8,56.1,23,165,126,5,1,4,4,360,0,0,0,0
Ki-Jana Hoever,nl NED,DF,20-084,3.4,12,4,0,40,30,11,71.1,82.3,72.2,57.1,9,58,89,61,3,8,4,308,0,0,0,0
Toti Gomes,pt POR,DF,23-086,2,5,1,0,15,5,1,63.9,91.3,72.2,19,17,63,51,3,0,2,2,180,0,0,0,0
Luke Cundle,eng ENG,MF,19-351,1.9,0,4,0,15,21,6,90.5,94.3,90,86.7,5,33,65,27,1,3,2,174,0,0,0,0.2
Pedro Neto,pt POR,"MF,FW",22-034,1.8,2,1,1,10,13,15,75,97.6,84.4,29.4,1,13,44,85,11,7,1,162,0,0,0.4,0.3
Chiquinho,pt POR,"MF,DF",22-066,0.6,2,1,0,5,9,6,60,76.9,50,50,1,5,7,32,5,5,0,52,0,1,0.2,0.1
Chem Campbell,wls WAL,MF,19-103,0.1,0,1,0,0,1,0,90,87.5,100,,0,0,4,8,1,1,0,13,0,0,0,0
Morgan Gibbs-White,eng ENG,"FW,MF",22-075,0.1,0,0,0,1,1,1,70,83.3,100,0,0,3,3,8,3,2,0,9,0,0,0.1,0
Squad Total,,,28,32,355,212,59,1827,2012,834,80.5,87.8,87.8,62.7,2368,7364,8845,4480,632,32,352,"2,880",30,18,30.3,20.4
Opponent Total,,,27.3,32,273,251,75,1350,2094,1149,80.4,89.3,86.3,58.5,1866,5907,9610,5382,812,32,352,"2,880",27,14,46.5,30.5
