Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Allan Saint-Maximin,fr FRA,"FW,MF",25-030,24.7,3,2,2,45,88,70,71.5,80.6,75.6,53.4,13,106,221,235,40,28,24,"2,223",5,3,4.4,4.6
Joelinton,br BRA,"MF,FW",25-240,22.6,30,24,7,152,223,115,78.7,84.5,79.2,71,77,237,226,28,16,28,23,"2,032",2,1,2.7,1.3
Joe Willock,eng ENG,MF,22-234,20.5,28,28,7,159,221,93,80.3,82.9,86.1,64.3,78,260,171,35,22,25,22,"1,846",2,0,3.3,1
Fabian Schär,ch SUI,DF,30-112,20.8,13,3,1,71,41,14,71.7,82.6,87,51.9,223,265,4,0,0,21,21,"1,870",2,2,1.3,0.5
Jamaal Lascelles,eng ENG,DF,28-151,19.1,12,1,2,73,47,5,77.9,74,87.2,60.2,528,643,6,0,0,21,19,"1,716",1,0,0.7,0.3
Jonjo Shelvey,eng ENG,MF,30-043,19,8,11,2,90,118,23,81.2,92.1,85.7,69.1,7,37,45,14,0,21,19,"1,713",2,1,0.8,0.8
Martin Dúbravka,sk SVK,GK,33-086,19,0,0,0,4,0,0,65.8,100,98,50.6,59,176,93,12,10,19,19,"1,710",0,0,0,0
Ryan Fraser,sct SCO,"FW,MF",28-046,16.1,8,5,0,33,68,62,69.8,84.6,67.7,44,21,113,207,312,46,26,18,"1,451",2,3,2.4,2
Javier Manquillo,es ESP,DF,27-341,14,27,10,4,100,46,29,73.4,86.2,71.2,35.7,0,0,8,6,1,19,15,"1,257",1,2,0.5,0.3
Matt Ritchie,sct SCO,DF,32-213,14.6,11,8,3,76,54,22,72.5,89.4,81,46.6,18,86,172,91,10,16,14,"1,318",0,2,0.4,1.6
Callum Wilson,eng ENG,FW,30-043,13.2,1,3,3,20,59,83,68.2,69.9,74,54.5,47,182,218,76,10,15,14,"1,184",6,0,4.4,0.4
Miguel Almirón,py PAR,"MF,FW",28-060,13.5,23,14,7,107,117,85,78.3,87.3,80,61.8,1,4,20,9,1,23,13,"1,215",0,0,1.1,0.6
Jacob Murphy,eng ENG,"DF,FW",27-046,13.9,24,10,3,119,91,62,63,78.1,71.3,38,70,264,575,396,76,26,12,"1,252",1,1,2.1,1.6
Emil Krafth,se SWE,DF,27-252,12.5,15,3,1,65,63,18,74.1,88.5,74.6,48.7,61,279,244,131,7,14,12,"1,123",0,1,0.2,0.6
Chris Wood,nz NZL,FW,30-125,11.8,0,2,0,10,91,92,55.3,59.9,52.3,54.5,198,497,228,57,41,12,12,"1,059",2,0,2.6,0.9
Ciaran Clark,ie IRL,DF,32-197,11.3,9,6,2,53,19,4,79.3,87.4,88.2,48.5,10,57,51,33,1,13,12,"1,014",0,1,0.8,0.3
Isaac Hayden,eng ENG,"MF,DF",27-020,11.1,17,12,5,77,96,21,80.2,85.4,85.1,68.3,39,174,342,122,10,14,12,"1,002",1,0,0.4,0.1
Sean Longstaff,eng ENG,MF,24-163,12.3,16,21,6,135,155,45,79.2,82.1,87.1,64.6,61,222,217,137,11,19,11,"1,103",1,1,1.1,0.4
Dan Burn,eng ENG,DF,29-337,9,13,3,0,55,36,1,83.6,86.7,89.1,70.3,30,179,265,289,55,9,9,810,0,1,0.4,0.1
Matt Targett,eng ENG,DF,26-205,9,11,6,1,53,19,28,73,86.8,81.2,37,45,254,328,250,9,9,9,810,0,0,0.3,0.8
Karl Darlow,eng ENG,GK,31-185,8,0,0,0,0,0,0,60.1,100,97.6,49.2,6,91,489,577,112,8,8,720,0,0,0,0
Federico Fernández,ar ARG,DF,33-049,5.8,0,1,0,21,9,3,85.5,89.1,95.6,62.3,176,617,477,64,23,7,5,523,0,0,0.4,0.3
Bruno Guimarães,br BRA,MF,24-146,4.5,13,7,3,47,66,24,85.8,90,87.1,88,47,304,548,173,3,10,4,409,1,0,0.9,0.7
Freddie Woodman,eng ENG,GK,25-038,4,0,0,0,1,0,0,60.2,100,100,38.8,37,175,243,155,10,4,4,360,0,0,0,0
Kieran Trippier,eng ENG,DF,31-204,3.5,9,7,2,18,24,6,68.2,90.9,65.8,54.2,15,76,109,73,0,4,4,316,2,0,0.1,0.4
Jamal Lewis,nir NIR,DF,24-076,2.9,7,2,2,25,8,9,78.6,89.7,81.6,59.1,26,186,374,269,60,5,4,262,0,0,0,0
Paul Dummett,wls WAL,DF,30-197,2.2,6,2,1,15,13,3,75,85.7,80.6,25,13,37,138,164,56,3,2,198,0,0,0,0
Jeff Hendrick,ie IRL,MF,30-070,0.8,0,1,0,2,11,3,88.9,90.9,100,75,8,30,204,157,43,3,0,72,1,0,0,0
Dwight Gayle,eng ENG,FW,31-176,0.4,0,1,0,1,10,3,75,83.3,100,,123,128,0,0,0,5,0,32,0,0,0,0
Squad Total,,,28.3,31,304,193,64,1627,1793,923,74.2,84,82.3,54,2037,5679,6223,3865,673,31,341,"2,790",32,19,30.5,20
Opponent Total,,,27.5,31,269,221,74,1406,1637,915,82.4,89.9,88.1,60.5,1951,6086,9958,5969,840,31,341,"2,790",52,37,46.1,32.1
