Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Teemu Pukki,fi FIN,FW,32-014,29.1,1,12,7,35,243,287,72.8,79,77.3,63.3,7,45,315,355,139,30,30,"2,623",9,2,8.3,1.7
Kenny McLean,sct SCO,MF,30-094,28.3,14,23,3,190,214,68,72.7,83,76.9,54,72,360,655,314,42,29,27,"2,544",1,0,1.9,0.6
Max Aarons,eng ENG,DF,22-098,26.6,44,17,0,205,112,35,75,90.3,76.4,43.8,135,611,654,402,24,28,27,"2,398",0,1,0.7,0.9
Ben Gibson,eng ENG,DF,29-087,25.7,15,4,0,83,48,6,81.6,91.8,91.1,61.9,344,949,569,56,23,26,26,"2,314",0,0,1.2,0
Grant Hanley,sct SCO,DF,30-143,25.2,33,13,3,151,59,8,83.8,86.9,91.7,68.7,314,892,452,33,22,26,26,"2,267",1,0,1.6,0.2
Tim Krul,nl NED,GK,34-009,24,0,0,0,7,0,0,67.4,98.7,98.8,49.1,815,944,14,1,0,24,24,"2,160",0,0,0,0.4
Brandon Williams,eng ENG,DF,21-221,21.6,36,15,2,148,114,40,80.5,90.1,82,57.1,118,515,580,317,29,24,21,"1,940",0,1,0.1,1.2
Pierre Lees-Melou,fr FRA,MF,28-322,19.3,22,22,8,198,222,72,78.5,86.5,85.2,63.4,60,289,477,233,29,26,20,"1,733",1,0,1.2,1.4
Milot Rashica,xk KVX,"FW,MF",25-288,19.9,9,12,4,85,87,83,62.3,78.7,68.6,39.2,34,174,314,375,52,25,19,"1,788",1,2,2.3,2.1
Josh Sargent,us USA,"FW,MF",22-051,17.3,16,8,9,96,143,118,73.9,82.5,71.6,61.1,33,122,276,284,64,25,18,"1,558",2,1,2.7,0.7
Billy Gilmour,sct SCO,MF,20-305,16.7,16,20,4,158,190,47,78.4,88,87.5,59.6,41,311,638,276,8,19,17,"1,506",0,1,0.7,1.9
Mathias Normann,no NOR,MF,25-319,13.9,19,11,3,104,117,13,65.9,82.3,71.9,45.8,58,250,387,143,2,18,15,"1,249",1,2,0.8,1
Ozan Kabak,tr TUR,DF,22-018,10.2,6,6,1,65,27,2,82.4,82.1,91.2,63.4,75,325,208,16,5,11,11,922,0,0,0.2,0
Dimitris Giannoulis,gr GRE,DF,26-177,8,9,8,1,55,31,16,73.5,86.5,75.3,38.1,49,226,240,115,8,13,9,719,0,1,0.1,0.4
Angus Gunn,eng ENG,GK,26-080,7,0,0,0,2,0,0,69.6,100,98,50.4,211,250,0,0,0,7,7,630,0,0,0,0
Adam Idah,ie IRL,"FW,MF",21-032,6.9,4,5,2,15,40,38,67.6,66.7,80,66.7,13,27,93,127,33,17,6,625,1,1,2,0.6
Lukas Rupp,de GER,MF,31-094,6.8,4,5,0,51,58,19,84.4,92.7,87.8,64.4,24,111,226,121,13,14,6,608,0,0,0.7,1.2
Przemysław Płacheta,pl POL,"FW,MF",24-020,4.9,5,0,0,29,46,22,66.7,81.7,70.7,50,8,49,72,89,12,9,6,443,0,0,0.5,0.3
Kieran Dowell,eng ENG,"FW,MF",24-184,5,4,5,2,37,60,45,68.9,83.5,75.6,37.5,5,28,90,104,8,13,5,447,0,0,0.2,0.8
Todd Cantwell,eng ENG,"FW,MF",24-044,4.9,8,6,1,39,46,21,82.5,87.1,83.3,68.8,5,50,109,70,7,8,5,441,0,0,0.2,0.2
Sam Byram,eng ENG,"DF,MF",28-208,5,12,3,0,41,34,9,68.9,78.6,68.4,39.1,30,118,104,84,11,8,4,452,0,0,0.6,0.1
Andrew Omobamidele,ie IRL,DF,19-293,4.2,5,3,0,37,12,0,86.7,88.3,91.3,76.2,30,139,144,17,2,5,4,382,1,0,0.3,0
Jakob Sørensen,dk DEN,"DF,MF",24-040,4.1,6,9,0,36,35,5,83.5,85.7,91.7,69.8,31,113,104,18,6,6,4,370,0,0,0.4,0
Christos Tzolis,gr GRE,"FW,MF",20-072,3.6,3,3,0,25,17,21,73.1,80.5,83.3,50,5,24,53,63,18,13,3,320,0,0,0.5,1
Christoph Zimmermann,de GER,DF,29-090,0.5,0,0,0,4,2,2,63.6,50,83.3,0,1,10,9,1,0,1,1,45,0,0,0,0
Jon Rowe,eng ENG,"MF,FW",18-347,1.5,3,1,0,15,8,13,67.4,83.3,60,0,2,12,27,35,7,8,0,135,0,1,0.3,0.2
Bali Mumba,eng ENG,DF,20-186,0.5,1,0,0,10,2,0,70,83.3,100,0,8,12,4,3,0,1,0,45,0,0,0,0
Squad Total,,,26.8,31,295,211,50,1921,1967,990,75.9,86.1,83.7,55,2528,6956,6814,3652,564,31,341,"2,790",18,13,26.6,17.1
Opponent Total,,,27.5,31,248,200,88,1268,1709,1227,81.3,89.3,86.7,61.9,1781,5884,9591,6287,1042,31,341,"2,790",61,43,60.1,38.7
