Player,Nation,Pos,Age,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Ben White,eng ENG,DF,24-189,21,9,4,105,77,19,86.4,92.5,92.7,63.4,218,897,993,111,20,28,28,"2,520",0,0,1,0.5
Bukayo Saka,eng ENG,"FW,MF",20-222,9,13,5,76,151,153,74.8,84.1,78.3,46.9,19,141,491,781,184,30,28,"2,316",9,5,6.5,6.2
Gabriel Dos Santos,br BRA,DF,24-117,27,11,3,99,62,8,89.4,93.5,95.1,68.6,308,979,880,82,34,27,27,"2,376",3,0,2.3,0.8
Aaron Ramsdale,eng ENG,GK,23-336,0,0,0,2,0,0,68.9,98.6,98.6,42.3,780,959,9,0,0,26,26,"2,340",0,0,0,0
Martin Ødegaard,no NOR,MF,23-119,4,16,12,82,195,163,83.8,89.9,87.6,67.2,12,169,711,591,53,28,24,"2,066",6,3,3.8,4.8
Thomas Partey,gh GHA,MF,28-306,25,23,7,107,149,36,85.9,90.3,88.5,75.2,65,395,845,284,23,24,23,"2,028",2,1,2.5,1.3
Kieran Tierney,sct SCO,DF,24-314,11,7,3,60,58,45,77.7,88,85.9,46.2,68,355,613,472,44,22,22,"1,915",1,3,0.7,1.9
Alexandre Lacazette,fr FRA,"FW,MF",30-322,7,13,5,46,116,183,76.7,80.9,73.9,64.5,5,70,294,314,105,25,20,"1,709",4,7,7.8,1.9
Granit Xhaka,ch SUI,MF,29-200,15,14,5,72,100,59,87.1,90.4,90.8,77.5,45,227,694,317,35,19,19,"1,635",0,2,0.9,1.6
Emile Smith Rowe,eng ENG,"MF,FW",21-261,5,10,0,49,101,68,85.2,90.8,91.2,48.6,16,132,427,439,59,26,18,"1,657",9,2,5.1,2.1
Takehiro Tomiyasu,jp JPN,DF,23-161,14,11,6,71,81,30,79.5,87.2,80.6,63.4,60,344,536,261,17,16,16,"1,383",0,1,0.3,0.6
Martinelli,br BRA,"FW,MF",20-301,9,11,5,44,81,122,71.2,81,79,46.9,21,71,217,401,99,21,16,"1,364",5,3,4.8,1.6
Pierre-Emerick Aubameyang,ga GAB,FW,32-301,5,5,2,23,78,100,70.7,80.3,64.5,57.1,5,34,141,167,55,14,12,"1,037",4,1,5.8,0.8
Albert Sambi Lokonga,be BEL,MF,22-175,9,10,3,44,61,25,89.1,92.1,92.4,73.6,32,215,464,172,2,16,11,"1,015",0,0,0.5,0.7
Cédric Soares,pt POR,DF,30-227,15,5,5,53,52,25,78.9,89.3,84.8,50.8,36,215,374,220,9,13,11,987,0,0,0.3,1
Nuno Tavares,pt POR,DF,22-079,5,4,3,34,30,20,83,90.4,87.8,61,26,170,237,190,30,15,7,671,0,1,0.6,0.8
Nicolas Pépé,ci CIV,"FW,MF",26-321,5,4,2,33,41,37,79.3,86.5,81.1,47.4,11,58,149,264,58,16,5,621,1,1,2.8,1.6
Rob Holding,eng ENG,DF,26-207,8,1,0,23,11,2,86.3,92.1,94.9,60.4,54,175,127,14,5,9,4,436,0,0,0.2,0
Bernd Leno,de GER,GK,30-042,0,0,0,0,0,0,64.9,100,100,40,105,125,0,0,0,4,4,360,0,0,0,0
Ainsley Maitland-Niles,eng ENG,MF,24-229,4,2,1,19,25,10,77.2,81.4,85.5,52.6,9,47,89,41,1,8,2,268,0,0,0,0.3
Pablo Marí,es ESP,DF,28-227,2,3,1,9,8,2,90.7,88.5,97.6,82.4,15,55,61,7,3,2,2,180,0,0,0.3,0.1
Calum Chambers,eng ENG,DF,27-085,2,0,0,18,5,1,82.7,92.1,85.7,58.8,17,49,61,17,1,2,2,170,0,0,0.1,0.1
Mohamed Elneny,eg EGY,MF,29-278,2,1,0,12,9,2,92.2,93.9,93,100,7,33,78,29,3,7,1,176,0,1,0,0.2
Sead Kolašinac,ba BIH,DF,28-299,1,0,0,7,3,2,76.9,100,62.5,100,8,19,8,0,0,2,1,91,0,0,0,0
Folarin Balogun,eng ENG,FW,20-286,0,0,0,2,2,17,50,50,66.7,0,1,3,10,12,6,2,1,70,0,0,0.3,0
Eddie Nketiah,eng ENG,"FW,MF",22-320,0,3,3,4,17,29,82.7,86.5,87.1,50,0,17,49,66,18,13,0,179,0,1,0.8,1
Reiss Nelson,eng ENG,FW,22-126,0,1,0,2,5,1,90.9,100,100,,0,0,7,10,2,1,0,20,0,0,0,0
Squad Total,,,25.2,205,177,75,1096,1518,1159,82,89.1,88.7,58.6,1943,5954,8565,5262,866,30,330,"2,700",44,32,45.9,29.8
Opponent Total,,,27.6,248,178,67,1508,1803,927,80,88.6,86.8,57.3,2312,6310,7696,4259,642,30,330,"2,700",36,26,36.4,25.6
