Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Nick Pope,eng ENG,GK,29-357,28,0,0,0,0,0,0,48.6,87,96.4,41.6,731,866,20,0,0,28,28,"2,520",0,0,0,0.2
James Tarkowski,eng ENG,DF,29-143,28,41,13,1,143,63,10,70.1,76.4,76.2,60.1,250,655,533,85,53,28,28,"2,520",1,2,1.5,0.4
Dwight McNeil,eng ENG,MF,22-140,26.9,21,28,6,186,222,119,68.1,85,80.4,43.3,45,225,573,518,47,30,27,"2,421",0,1,1.6,3
Josh Brownhill,eng ENG,MF,26-113,25.4,16,30,4,118,204,74,74.3,82.9,76.3,53.5,61,233,612,301,31,27,25,"2,283",1,1,1,1.5
Ashley Westwood,eng ENG,MF,32-010,25.1,7,20,3,120,238,60,70.5,88,77.9,47.2,52,248,766,350,19,26,25,"2,257",0,3,0.7,3.5
Charlie Taylor,eng ENG,DF,28-205,22.3,23,14,2,91,63,20,70.8,87.8,77.8,40.7,125,436,535,331,9,23,22,"2,011",0,2,0.2,2.4
Ben Mee,eng ENG,DF,32-200,20.4,15,9,3,61,42,6,73.4,87.5,83.1,57.1,146,494,467,50,28,21,21,"1,839",3,0,1.8,0.1
Matthew Lowton,eng ENG,DF,32-306,18,20,12,7,63,56,37,68.9,88.7,73.9,42.1,81,288,428,253,7,20,18,"1,624",1,2,0.5,1.2
Chris Wood,nz NZL,FW,30-125,15.2,2,5,4,8,81,109,59.1,63.8,58,75,12,28,202,234,50,17,17,"1,367",3,0,4.5,0.2
Maxwel Cornet,ci CIV,"FW,MF",25-196,14.7,5,5,5,43,89,79,66.3,72.5,75.3,36.1,19,77,164,257,61,20,16,"1,322",7,1,3.3,0.8
Aaron Lennon,eng ENG,MF,34-360,14.6,10,14,8,84,121,95,67.9,82.1,68.6,40.5,18,72,183,200,33,21,15,"1,310",2,0,0.6,0.4
Jóhann Berg Guðmundsson,is ISL,MF,31-166,12.2,10,7,2,49,69,52,63.2,81.2,65.2,34.9,24,85,197,245,27,18,13,"1,102",0,1,1.7,0.3
Connor Roberts,wls WAL,DF,26-200,12,5,5,2,45,42,9,62.6,86.1,66.2,34.9,56,192,307,164,7,13,12,"1,077",0,1,0.1,0.3
Wout Weghorst,nl NED,FW,29-247,10.7,2,5,3,52,146,124,64.2,71.3,58,50,12,37,204,151,29,12,12,966,1,2,1.5,0.5
Jack Cork,eng ENG,MF,32-290,10.6,3,5,2,48,106,48,75.3,79.9,76.8,66.7,26,72,226,94,4,12,12,950,0,0,0.1,0
Jay Rodriguez,eng ENG,FW,32-256,12.7,7,6,4,54,84,115,67.1,76.4,53.8,50,10,55,166,165,40,26,10,"1,139",2,2,3.3,1.8
Nathan Collins,ie IRL,DF,20-346,10.6,14,3,0,58,24,4,71.5,82.9,81.5,50.6,81,236,192,20,15,11,10,950,1,0,0.5,0.4
Erik Pieters,nl NED,DF,33-247,7.9,22,5,0,73,51,11,70.1,81.5,78.3,34.5,56,164,209,99,3,11,8,711,0,0,0.2,0
Ashley Barnes,eng ENG,FW,32-163,4.9,4,5,2,9,44,34,67,76.7,68,50,3,20,88,74,22,17,4,442,0,0,0.7,0.8
Matěj Vydra,cz CZE,FW,29-345,5.5,1,1,5,11,43,58,68,69.6,73.3,50,7,15,40,90,30,18,3,495,1,2,2.1,0.5
Wayne Hennessey,wls WAL,GK,35-077,2,0,0,0,1,0,0,50,100,100,43.7,69,83,4,0,0,2,2,180,0,0,0,0.1
Dale Stephens,eng ENG,MF,32-303,1.4,1,4,1,6,29,5,77.2,69.6,84,85.7,4,13,54,10,0,2,1,123,0,0,0,0
Kevin Long,ie IRL,DF,31-236,1,0,0,0,5,1,0,72.2,80,80,50,11,22,6,1,1,1,1,90,0,0,0,0
Squad Total,,,29.4,30,229,196,64,1328,1818,1069,67.6,81.7,76,46.5,1899,4616,6176,3692,516,30,330,"2,700",23,20,25.5,18.7
Opponent Total,,,27.4,30,180,155,49,1194,1505,730,79.5,88,86,56,2071,6827,8818,5404,944,30,330,"2,700",43,30,43.5,30.4
