Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,90s,Gls,Ast,xG,xA
Tyrick Mitchell,eng ENG,DF,22-222,30.3,69,24,8,353,172,79,72.7,88.2,76.5,37.6,137,789,856,452,29,31,31,"2,723",30.3,0,2,0.3,1.2
Marc Guéhi,eng ENG,DF,21-272,30,21,8,1,119,62,9,86.9,93.5,92.8,63.4,354,1237,938,64,19,30,30,"2,700",30,2,0,1.6,0.4
Conor Gallagher,eng ENG,MF,22-064,26.1,32,16,15,177,311,177,76.6,87.2,81.6,52.7,45,246,619,502,78,27,27,"2,347",26.1,8,3,5,3.2
Vicente Guaita,es ESP,GK,35-091,25.5,0,0,0,1,0,0,79.1,100,99.6,53.6,788,873,1,0,0,26,26,"2,295",25.5,0,0,0,0
Joachim Andersen,dk DEN,DF,25-315,25.4,21,8,0,79,40,5,83.2,89.7,93.5,66.7,403,1199,790,58,22,27,25,"2,286",25.4,0,3,0.5,1.8
Wilfried Zaha,ci CIV,FW,29-152,24.5,14,17,8,116,250,132,77.6,83,81.6,67.1,13,134,603,610,124,26,25,"2,201",24.5,11,1,7.6,4.2
Joel Ward,eng ENG,DF,32-164,23.6,29,17,1,136,86,34,79.8,89.6,86.5,49.8,122,674,830,324,9,24,23,"2,127",23.6,0,0,0.3,0.5
Cheikhou Kouyaté,sn SEN,MF,32-111,20,30,23,1,178,161,21,83.4,85.4,85.6,71.8,80,335,539,106,7,24,21,"1,801",20,0,1,0.5,0.7
Jordan Ayew,gh GHA,FW,30-212,19.1,18,19,10,105,194,147,75.9,88.3,80.1,42.9,11,136,530,415,70,27,20,"1,722",19.1,2,3,2.9,2.2
Jeffrey Schlupp,gh GHA,"MF,FW",29-109,16.4,14,19,5,86,164,55,73.6,80.1,77.2,62.3,38,176,413,202,49,25,16,"1,472",16.4,3,1,1.9,1.2
Odsonne Édouard,fr FRA,FW,24-085,14.3,1,6,8,42,118,121,72.4,80.2,72.7,64.7,15,64,269,274,73,24,15,"1,286",14.3,6,3,6.5,2.1
James McArthur,sct SCO,MF,34-186,13.6,16,15,1,107,172,43,83.6,89.8,90.6,63.7,44,219,536,202,20,17,13,"1,220",13.6,0,2,0.3,0.9
Christian Benteke,be BEL,FW,31-129,12.4,2,4,2,9,50,57,70.2,76.4,63.7,69.2,38,62,204,192,84,22,11,"1,115",12.4,4,1,5.4,1.1
Michael Olise,fr FRA,"FW,MF",20-120,10.8,9,6,4,66,103,44,74.3,87.4,75.4,49.5,15,78,338,350,35,22,10,971,10.8,2,5,1.3,2.9
Will Hughes,eng ENG,MF,26-359,9.1,8,15,2,58,98,16,81,87.4,91.4,55.1,26,134,287,113,6,12,10,818,9.1,0,1,0.1,0.6
Jean-Philippe Mateta,fr FRA,FW,24-287,9,1,4,0,21,110,53,70.6,80.8,69.4,20,15,31,137,98,39,16,9,810,9,4,1,3.1,1.1
Nathaniel Clyne,eng ENG,DF,31-006,8,5,10,0,42,32,6,77.9,90.7,81.5,42.6,23,175,212,56,2,9,8,721,8,0,0,0,0.1
Luka Milivojević,rs SRB,MF,31-004,7.4,8,6,2,46,51,13,79,85.8,84.5,60.5,20,127,264,114,2,13,8,663,7.4,0,0,0.2,0.6
James Tomkins,eng ENG,DF,33-013,6.1,7,5,0,33,16,0,87.9,90.2,94.4,75.6,90,254,109,9,8,8,6,547,6.1,1,0,0.6,0.4
Jack Butland,eng ENG,GK,29-032,5.5,0,0,0,0,0,0,71.3,100,97.1,35,182,200,1,0,0,6,5,495,5.5,0,0,0,0
Eberechi Eze,eng ENG,"MF,FW",23-286,1.9,2,1,1,5,18,9,76.5,88.6,76.9,50,0,11,63,44,1,7,1,175,1.9,0,0,0,0.1
Jaïro Riedewald,nl NED,MF,25-214,1.3,0,1,1,7,2,2,83.3,81.3,96.3,66.7,2,19,39,15,1,3,1,118,1.3,0,0,0,0.1
Jesuran Rak Sakyi,eng ENG,MF,19-188,0.2,0,0,0,1,3,1,83.3,100,66.7,100,0,1,8,4,0,1,0,14,0.2,0,0,0,0
Nathan Ferguson,eng ENG,DF,21-187,0.1,0,0,0,1,0,0,60,100,,0,0,4,1,0,0,1,0,9,0.1,0,0,0,0
Squad Total,,,27.9,31,307,224,70,1788,2213,1024,79.3,87.7,86.2,57,2461,7178,8587,4204,678,31,341,"2,790",31,43,27,37.8,25.3
Opponent Total,,,27.5,31,297,294,99,1451,2184,1251,79.2,87.5,86.3,57.9,1928,5809,8977,5208,746,31,341,"2,790",31,38,25,36,22.9
