Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,90s,Gls,Ast,xG,xA
Asmir Begović,ba BIH,GK,34-295,2,0,0,0,0,0,0,38.2,100,100,30.6,58,60,0,0,0,2,2,180,2,0,0,0,0
Tom Davies,eng ENG,MF,23-285,1.8,1,2,1,15,16,9,78,95.5,82.6,50,2,13,44,31,8,5,1,158,1.8,1,0,0.9,0
Jean-Philippe Gbamin,ci CIV,MF,26-198,0.7,1,1,0,8,3,3,76.2,85.7,60,50,1,8,22,1,0,3,1,67,0.7,0,0,0,0
Ellis Simms,eng ENG,FW,21-096,0.7,0,0,0,2,5,3,53.3,60,40,,2,4,12,3,1,1,1,61,0.7,0,0,0,0
Dele Alli,eng ENG,MF,26-000,1.9,3,4,0,17,41,20,74.2,78.6,79.3,54.5,8,22,73,44,10,6,0,175,1.9,0,0,0.1,0.3
Lewis Dobbin,eng ENG,"FW,MF",19-098,0.4,0,1,1,4,7,8,57.1,66.7,0,66.7,0,3,7,5,2,3,0,32,0.4,0,0,0,0
Tyler Onyango,eng ENG,"MF,FW",19-038,0.3,1,0,0,6,3,1,0,,0,,0,1,3,1,1,3,0,28,0.3,0,0,0,0
Anwar El Ghazi,nl NED,FW,26-343,0.1,1,0,0,2,3,5,88.9,87.5,,100,0,1,4,10,2,2,0,13,0.1,0,0,0,0
Cenk Tosun,tr TUR,FW,30-308,0.1,0,0,0,0,0,1,100,100,100,,0,0,3,0,0,1,0,7,0.1,0,0,0,0
Moise Kean,it ITA,FW,22-042,0,0,0,0,0,0,0,100,,100,,0,0,2,0,0,1,0,1,0,0,0,0,0
Squad Total,,,27.5,30,316,236,78,1694,2144,1116,72.8,84.7,80.1,49.9,1946,5272,6779,4314,645,30,330,"2,700",30,32,22,33.1,20.4
Opponent Total,,,27.6,30,251,219,73,1547,1764,920,81.3,88.1,88.3,62.4,1977,6634,9762,5177,757,30,330,"2,700",30,48,37,42.5,32.1
