Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,90s,Gls,Ast,xG,xA
Moussa Sissoko,fr FRA,MF,32-239,28.8,25,19,2,141,195,62,79.9,86.8,79.5,72.6,103,341,680,281,28,29,29,"2,590",28.8,2,1,2.9,2.4
Emmanuel Dennis,ng NGA,"FW,MF",24-148,24.9,23,8,6,108,210,172,66.5,76.4,67.3,52.3,17,122,396,520,126,29,26,"2,239",24.9,9,5,6.9,2.5
Craig Cathcart,nir NIR,DF,33-065,24.3,24,6,0,104,43,3,81.5,88.7,87.7,67.4,194,621,461,57,8,26,25,"2,184",24.3,0,1,0.1,0.3
Joshua King,no NOR,FW,30-087,22.1,6,14,8,62,188,174,72.7,79.9,71.2,70.4,30,96,369,354,113,28,24,"1,990",22.1,5,3,7.7,3.1
Kiko Femenía,es ESP,DF,31-069,19.8,22,11,1,86,72,24,70.9,88.4,72.2,29.6,97,387,498,365,11,23,22,"1,786",19.8,0,5,0,2.5
Ben Foster,eng ENG,GK,39-009,20,0,0,0,5,0,0,48.9,95.2,96.1,38.6,592,716,12,0,0,20,20,"1,800",20,0,1,0,0.1
Juraj Kucka,sk SVK,MF,35-045,19.4,41,25,5,154,186,55,69.9,78,72.3,55.1,73,279,485,212,25,24,20,"1,747",19.4,1,1,2.2,0.9
Ismaila Sarr,sn SEN,"FW,MF",24-046,16.9,2,6,2,69,137,112,72,80.1,72.3,59.6,9,88,265,353,70,18,17,"1,524",16.9,5,1,4,2.5
Tom Cleverley,eng ENG,MF,32-243,15.3,13,10,4,84,161,60,73.8,86.8,79.9,41.9,28,140,339,233,8,24,17,"1,378",15.3,0,2,0.8,1.5
William Troost-Ekong,ng NGA,DF,28-223,15.3,10,7,0,61,41,3,78.9,83.1,89.6,65,150,467,257,16,4,16,15,"1,377",15.3,0,0,0.1,0.1
Imran Louza,ma MAR,MF,22-346,12.9,23,16,4,123,133,38,76.2,85.3,83.3,58.6,41,203,435,133,6,17,14,"1,162",12.9,0,0,0.6,0.8
Samir Santos,br BRA,DF,27-128,13,18,7,1,69,31,6,82.4,92,90.7,56.9,85,414,244,15,8,13,13,"1,169",13,0,0,0.2,0.1
Hassane Kamara,ci CIV,DF,27-205,12.9,34,17,3,144,74,16,70.6,85.2,76.9,32.7,61,419,405,134,8,13,13,"1,163",12.9,0,0,0.1,0.4
Cucho,co COL,"FW,MF",22-357,12.5,8,5,2,69,107,81,64.4,76.8,69.3,48.8,17,90,227,284,38,24,11,"1,128",12.5,5,2,2.5,1.9
Daniel Bachmann,at AUT,GK,27-277,11,0,0,0,0,0,0,59.1,100,96.2,42.8,309,360,2,0,0,11,11,990,11,0,0,0,0
Adam Masina,ma MAR,DF,28-100,9.6,8,11,1,61,59,18,67.2,84.5,78.2,41.8,56,207,232,101,2,11,11,866,9.6,0,0,0.2,0.5
João Pedro,br BRA,"FW,MF",20-198,13.1,4,7,2,42,116,73,68,73.3,68.6,62.3,18,73,306,311,58,22,10,"1,178",13.1,2,1,2.6,2.6
Danny Rose,eng ENG,DF,31-284,7.7,15,8,0,44,36,5,66.8,89,73.5,44.3,34,138,180,112,4,8,7,689,7.7,0,0,0.2,0.8
Christian Kabasele,be BEL,DF,31-047,7.3,3,3,0,23,14,1,83.2,76.1,90.4,69.8,67,232,122,10,5,10,6,653,7.3,0,0,0.3,0
Jeremy Ngakia,eng ENG,DF,21-217,7,27,3,2,100,41,14,72.8,84.6,81,44.3,29,164,145,94,2,13,6,633,7,0,0,0.1,0.3
Edo Kayembe,cd COD,MF,23-252,4.8,3,5,2,26,34,4,82,90.9,84.2,71.4,15,82,191,52,2,8,5,434,4.8,0,0,0.1,0.2
Francisco Sierralta,cl CHI,DF,24-341,4.7,6,0,0,18,6,0,84.6,90.9,94.4,66.7,66,191,62,2,2,5,5,427,4.7,0,0,0,0
Ken Sema,se SWE,"MF,FW",28-194,6.1,9,2,0,58,78,14,58.3,79.6,61.9,24,19,72,93,66,9,14,4,553,6.1,0,0,0.1,0.6
Oghenekaro Etebo,ng NGA,MF,26-154,4.3,5,7,0,28,31,4,89.6,91.7,92.8,82.4,14,65,118,18,0,7,4,389,4.3,0,0,0,0.1
Ozan Tufan,tr TUR,MF,27-020,3.7,1,2,1,23,39,15,69.7,83.3,79.5,42.9,5,26,87,50,9,7,4,334,3.7,0,0,0.5,0.2
Nicolas Nkoulou,cm CMR,DF,32-016,1.9,0,1,0,5,2,0,86.8,90.9,88.9,78.6,11,38,34,2,0,3,2,168,1.9,0,0,0,0
Samuel Kalu,ng NGA,"FW,MF",24-229,0.5,0,0,0,2,3,4,60,100,66.7,0,1,3,3,3,0,2,0,47,0.5,0,0,0,0
Ashley Fletcher,eng ENG,FW,26-192,0.3,2,0,0,5,3,1,33.3,0,100,100,1,3,6,7,1,3,0,30,0.3,0,0,0.4,0
Troy Deeney,eng ENG,FW,33-287,0.3,0,0,0,1,2,4,50,50,100,,2,2,1,8,5,2,0,25,0.3,0,0,0.4,0.1
Dan Gosling,eng ENG,MF,32-070,0.2,0,0,0,2,3,0,71.4,80,100,0,2,6,3,1,0,1,0,22,0.2,0,0,0,0
Squad Total,,,29.1,31,332,200,46,1717,2045,963,72.2,83.5,80.5,50.8,2146,6045,6658,3794,552,31,341,"2,790",31,29,23,32.6,24.4
Opponent Total,,,27.6,31,282,255,91,1391,1833,1077,80.2,86.9,86.8,61.1,1811,6545,10202,5648,926,31,341,"2,790",31,57,41,52.6,37.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
