Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,90s,Gls,Ast,xG,xA
Illan Meslier,fr FRA,GK,22-040,31.6,0,0,0,5,0,0,75.1,99.5,98.7,44.4,1103,1249,1,0,0,32,32,"2,844",31.6,0,0,0,0
Stuart Dallas,nir NIR,"DF,MF",30-357,30.9,56,24,5,252,194,52,79.4,91.2,84.5,51.4,100,648,939,521,32,32,32,"2,785",30.9,1,1,1.9,2.3
Raphael Dias Belloli,br BRA,"FW,MF",25-118,26.9,20,16,8,100,179,148,63.5,81.9,70.5,37.9,38,197,658,730,122,29,28,"2,419",26.9,10,3,9.4,6.2
Jack Harrison,eng ENG,"FW,MF",25-142,23.9,18,20,12,132,173,150,63.7,79.3,64.6,35.7,32,228,492,585,89,29,26,"2,153",23.9,7,1,3.7,2.4
Daniel James,wls WAL,"FW,MF",24-152,23.9,11,10,9,68,179,237,65.2,76.9,66.5,44.7,19,82,263,426,120,28,26,"2,149",23.9,4,4,5.1,2.4
Luke Ayling,eng ENG,DF,30-229,23,44,19,5,187,119,37,78.5,87.4,85.9,59.3,211,875,707,255,35,23,23,"2,066",23,2,2,1.5,0.8
Diego Llorente,es ESP,DF,28-238,21,30,13,2,164,113,12,82.5,87.2,90.6,64.3,210,823,622,46,12,23,23,"1,890",21,2,0,1,0.1
Rodrigo,es ESP,"MF,FW",31-036,20.1,4,11,8,46,144,117,75.2,79.7,79.4,68.7,29,138,507,385,67,25,22,"1,809",20.1,6,1,4.5,4
Mateusz Klich,pl POL,MF,31-302,19.7,14,19,6,148,257,92,77.5,87.7,79.5,48.1,30,221,532,364,56,27,22,"1,773",19.7,1,2,2.5,2
Pascal Struijk,nl NED,"DF,MF",22-243,19.8,33,19,4,164,137,25,87.8,91.2,93.7,73.1,177,751,575,86,13,24,20,"1,785",19.8,0,0,1.1,0.2
Adam Forshaw,eng ENG,MF,30-185,17,20,29,2,127,215,66,83.7,90.5,85.8,71.4,25,285,571,183,9,22,17,"1,530",17,0,1,0.4,1.1
Liam Cooper,sct SCO,DF,30-224,16.2,19,12,1,103,69,3,86.8,91.4,94.3,65.9,162,742,430,26,9,17,17,"1,454",16.2,0,1,0.2,0
Junior Firpo,es ESP,DF,25-232,14.8,27,21,5,125,98,36,83,87.9,87.3,57.8,50,281,477,253,31,19,15,"1,334",14.8,0,1,0.7,1.7
Robin Koch,de GER,"MF,DF",25-268,12.2,11,9,3,88,100,19,78.1,80.3,83.7,70.8,63,247,290,66,9,14,12,"1,102",12.2,0,0,0.4,0.5
Kalvin Phillips,eng ENG,MF,26-130,11.7,20,18,4,113,157,62,82,83.7,92.7,66.7,52,272,452,136,7,14,12,"1,056",11.7,0,1,0.6,0.2
Tyler Roberts,wls WAL,"MF,FW",23-089,11,7,6,4,24,85,60,73.8,82.1,74.4,57.9,12,71,213,191,49,23,7,987,11,1,1,2.4,1.2
Jamie Shackleton,eng ENG,"DF,MF",22-185,7.6,17,7,2,51,48,14,86.3,91.8,88.1,80.6,25,186,227,96,13,13,7,686,7.6,0,0,0.2,0
Patrick Bamford,eng ENG,FW,28-218,6.2,1,2,0,4,47,60,82.5,90.6,83.9,69.2,11,23,80,83,36,9,7,559,6.2,2,2,3.9,1
Joe Gelhardt,eng ENG,"FW,MF",19-342,5.5,3,2,4,15,67,63,71.4,76.9,71.9,20,3,17,95,93,35,14,2,499,5.5,2,1,2.2,0.4
Charlie Cresswell,eng ENG,DF,19-125,1.6,4,3,0,14,15,0,75,89.5,91.3,43.3,20,79,47,4,1,5,1,141,1.6,0,0,0.1,0
Cody Drameh,eng ENG,DF,20-124,1.4,4,2,0,16,10,3,77.9,88.6,78.3,75,3,37,44,22,2,3,1,128,1.4,0,0,0,0
Leo Fuhr Hjelde,no NOR,DF,18-228,1.7,4,0,0,13,12,5,75.7,85.5,85.7,42.9,11,58,58,18,1,2,0,150,1.7,0,0,0,0
Crysencio Summerville,nl NED,"MF,FW",20-163,1.4,2,1,3,5,7,10,72.5,83.9,72,50,2,16,30,51,7,6,0,130,1.4,0,0,0.3,0
Sam Greenwood,eng ENG,"FW,MF",20-075,1.2,0,2,1,0,8,12,77.4,80,75,75,0,4,26,13,2,3,0,105,1.2,0,2,0.1,0.3
Lewis Bate,eng ENG,MF,19-164,0.5,0,0,1,3,9,2,78.9,80,100,0,1,7,19,7,0,1,0,43,0.5,0,0,0,0
Kristoffer Klaesson,no NOR,GK,21-135,0.4,0,0,0,0,0,0,81.8,100,100,66.7,12,14,0,0,0,1,0,36,0.4,0,0,0,0
Hélder Costa,ao ANG,MF,28-089,0.2,0,0,0,1,5,3,100,100,100,,0,1,3,2,0,1,0,22,0.2,0,0,0,0
Liam McCarron,sct SCO,FW,21-035,0.1,0,0,0,2,0,1,100,,100,100,0,1,2,0,0,1,0,10,0.1,0,0,0,0
Stuart McKinstry,sct SCO,MF,19-205,0,0,0,0,1,0,0,75,100,100,0,0,2,4,0,0,1,0,4,0,0,0,0,0
Squad Total,,,26.8,32,369,265,89,1971,2447,1289,78,86.6,85.9,56,2401,7555,8364,4642,757,32,352,"2,880",32,38,24,41.4,26.7
Opponent Total,,,27.7,32,293,243,82,1409,1937,1253,75.8,85.6,82.5,55.8,2167,6256,7597,4690,836,32,352,"2,880",32,67,50,57.9,39.2
