Player,Nation,Pos,Age,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressures_Mid_3rd,Pressures_Att_3rd,Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Mads Bidstrup,dk DEN,MF,21-050,2,2,0,12,7,0,72.7,83.3,50,100,8,32,16,11,2,4,0,41,0,0,0,0
Tariqe Fosu,gh GHA,DF,26-162,0,0,0,0,2,3,75,100,75,50,49,138,492,443,125,1,0,17,0,0,0,0
Finley Stevens,wls WAL,DF,19-006,0,2,0,0,4,1,62.5,66.7,75,0,9,48,122,151,37,1,0,15,0,0,0,0
Matthew Cox,eng ENG,GK,18-349,4,7,7,5,4,5,34.6,56.6,82,34,5,56,76,34,65,0,0,89,4,6,4,5
Halil Dervişoğlu,tr TUR,FW,22-129,3,6,5,3,3,3,35.9,35.5,76,98.8,4,78,43,23,43,0,0,45,3,4,5,8
Patrik Gunnarsson,is ISL,GK,21-152,4,3,4,3,3,3,53.8,45.9,45,34.9,3,24,23,67,33,0,0,65,5,2,7,4
Maxwell Haygarth,eng ENG,MF,20-085,3,6,6,5,5,4,56.9,24.8,49,45.9,2,98,56,35,22,0,0,67,5,6,3,0.5
Julian Jeanvier,gn GUI,DF,30-016,5,4,8,3,3,3,24.9,45.9,27,56.9,7,43,45,55,24,0,0,456,5,9,4,3
Edmond-Paris Maghoma,eng ENG,MF,20-343,2,8,5,4,5,5,44.9,78.9,47,98.7,3,56,34,35,24,0,0,453,3,6,4,5
Myles Peart-Harris,eng ENG,MF,19-210,5,4,7,3,3,3,34.5,45.9,39,65.9,7,47,23,97,50,0,0,856,6,5,4,3
Nathan Young-Coombes,eng ENG,FW,19-091,3,3,4,4,4,3,37.5,53.9,87,42.9,7,68,65,45,45,0,0,54,2,4,3,7
Squad Total,,,26.2,294,219,88,38,25,39.2,25.7,82.3,79.6,51.1,2605,7273,7476,4299,1007,32,352,"33,658",71,67,73.6,61.2
Opponent Total,,,27.6,198,206,64,46,37,41.5,29.7,87.7,86,56.2,2100,6461,9938,7204,1107,32,352,"33,658",73,69,75.6,65
