Player,Nation,Pos,Age,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Antonio Rüdiger,de GER,DF,29-039,24,18,2,120,92,30,88.1,94.2,93.5,70.1,193,931,1249,262,39,28,28,"2,520",3,0,2.1,1.1
Edouard Mendy,sn SEN,GK,30-041,0,0,0,3,0,0,81.2,98.9,97.7,53,693,780,4,0,0,26,26,"2,340",0,0,0,0
Thiago Silva,br BRA,DF,37-201,13,10,3,79,50,6,92.8,97.1,96.1,81.5,318,1040,1179,62,19,25,22,"2,065",3,0,0.7,0.2
Jorginho,it ITA,MF,30-112,23,25,4,141,188,57,88.9,91.6,92.4,70.4,57,399,992,349,13,24,21,"1,868",6,2,5,2.5
Mason Mount,eng ENG,"MF,FW",23-091,9,11,13,67,152,172,77.2,89.2,79.4,45,14,121,428,700,109,26,21,"1,825",10,8,7.4,5
Marcos Alonso,es ESP,DF,31-104,17,10,7,102,74,52,77,89,82.1,46.6,67,353,454,521,51,21,18,"1,592",2,3,2.2,3.7
César Azpilicueta,es ESP,DF,32-226,20,18,5,108,112,39,82.5,90.2,87.1,48.5,94,445,649,391,44,19,18,"1,525",0,2,0.7,1.9
Kai Havertz,de GER,"FW,MF",22-304,3,12,4,26,105,134,82.4,89.9,75.9,83.3,28,81,344,383,110,22,18,"1,440",7,2,7.5,1.5
N'Golo Kanté,fr FRA,MF,31-013,19,16,7,86,137,57,85.5,88,87.6,79,28,235,578,379,29,21,16,"1,351",2,4,1.5,1.6
Andreas Christensen,dk DEN,DF,26-001,11,3,2,76,46,10,91.2,94,93.4,82.9,150,613,686,75,4,17,15,"1,361",0,0,0.4,0.2
Reece James,eng ENG,DF,22-124,18,8,1,81,68,33,85.4,92.7,86.5,69.7,28,227,510,536,50,19,15,"1,247",5,6,2,4.3
Mateo Kovačić,hr CRO,MF,27-340,15,26,9,92,203,64,89.3,93,91.6,76.5,23,235,796,329,15,22,14,"1,394",2,5,1.3,3.7
Trevoh Chalobah,eng ENG,DF,22-280,14,15,4,50,72,12,90.6,93.3,94.4,71.6,67,411,597,118,8,17,14,"1,179",3,1,0.8,0.1
Romelu Lukaku,be BEL,FW,28-333,0,1,1,6,46,71,72.2,81,67.7,66.7,18,29,180,192,76,20,12,"1,238",5,0,4.6,2.2
Hakim Ziyech,ma MAR,"FW,MF",29-023,4,10,3,47,98,74,73.2,88.9,76.7,36.9,11,78,293,441,52,17,12,"1,078",4,2,3.1,3
Callum Hudson-Odoi,eng ENG,"FW,MF",21-155,4,7,2,24,77,57,79.6,86.1,81.8,53.7,7,40,194,315,62,15,11,962,1,2,2.1,2.3
Christian Pulisic,us USA,"MF,FW",23-205,3,8,1,43,100,86,78.8,86.3,80.6,62.5,9,69,224,272,62,16,10,994,4,1,3.8,0.7
Timo Werner,de GER,"FW,MF",26-036,0,2,2,27,57,85,74.5,85.7,74.7,46.7,3,26,143,246,84,16,10,891,3,1,6.2,0.3
Ruben Loftus-Cheek,eng ENG,"MF,DF",26-078,15,7,1,56,85,28,89.1,92.2,90.3,84,17,145,484,219,25,17,9,960,0,2,1,1.4
Ben Chilwell,eng ENG,DF,25-111,3,6,1,34,36,22,77,91.1,83.2,34,9,93,143,203,28,6,6,540,3,1,1.2,0.9
Malang Sarr,fr FRA,DF,23-078,8,1,0,27,16,3,88.9,93.3,95.3,63,30,150,207,40,0,5,5,420,0,0,0,0.3
Kepa Arrizabalaga,es ESP,GK,27-190,0,0,0,0,0,0,82.7,100,100,52.9,130,149,0,0,0,4,4,360,0,0,0,0
Saúl Ñíguez,es ESP,"DF,MF",27-141,6,1,2,32,33,9,85.1,91.4,84.4,73.3,9,73,147,92,11,8,4,345,0,0,0.1,0.2
Ross Barkley,eng ENG,MF,28-127,0,1,0,1,9,5,81.8,90.9,81.3,78.6,0,9,50,86,7,5,1,154,0,0,0.8,0.5
Squad Total,,,28,229,216,74,1328,1856,1106,85.3,91.4,89.8,65.7,2003,6732,10532,6212,899,30,330,"2,700",63,42,53,37.5
Opponent Total,,,27.4,261,219,65,1758,2351,1291,76.5,86,84.6,54.2,2217,5759,6883,3976,567,30,330,"2,700",22,14,27.5,17
