Player,Nation,Pos,Age,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Kasper Schmeichel,dk DEN,GK,35-157,0,0,0,1,0,0,70.6,98.8,99.4,50.7,986,1097,11,0,0,29,29,"2,610",0,0,0,0
Çağlar Söyüncü,tr TUR,DF,25-323,28,14,2,128,95,7,85.4,92.6,93.7,56,274,1071,829,51,15,25,25,"2,227",1,0,1.4,0.1
Youri Tielemans,be BEL,MF,24-339,18,27,5,117,185,56,81.7,88,88,58.1,80,364,872,372,30,24,22,"1,991",6,2,4.4,3.4
James Maddison,eng ENG,"MF,FW",25-139,5,15,8,81,185,98,73.5,83.5,83.2,46.5,19,147,530,415,63,28,22,"1,897",8,5,5.9,3.9
Harvey Barnes,eng ENG,"FW,MF",24-123,5,8,4,48,84,78,73.4,84.1,70.2,44.4,12,99,333,475,109,24,20,"1,670",3,6,5,2.6
Luke Thomas,eng ENG,DF,20-305,29,10,4,158,107,34,80.5,91.5,84.1,41.2,80,457,645,292,17,19,18,"1,642",0,1,0.2,1.6
Daniel Amartey,gh GHA,DF,27-111,11,8,0,69,52,5,90.8,94.6,94.7,78.5,220,697,536,28,4,20,18,"1,623",0,0,0,0.1
Wilfred Ndidi,ng NGA,"MF,DF",25-116,39,28,3,155,214,41,82.4,86.1,88.6,64.4,103,422,655,150,18,19,18,"1,618",0,0,1,0
Jamie Vardy,eng ENG,FW,35-090,0,2,0,12,85,115,72.3,75.3,76.3,57.1,11,25,134,178,79,18,16,"1,400",10,2,6.6,1.4
Kiernan Dewsbury Hall,eng ENG,MF,23-217,18,9,3,126,118,67,77.8,87,79.8,49.5,43,249,520,336,26,20,15,"1,413",1,3,1.1,1.9
Timothy Castagne,be BEL,DF,26-127,20,20,5,102,109,24,80.3,86.6,82,60.9,69,381,444,199,13,19,14,"1,428",1,0,0.1,0.4
Ademola Lookman,ng NGA,"FW,MF",24-173,12,16,7,76,138,77,76.9,86.3,77,46.4,7,87,310,294,76,20,13,"1,215",5,0,4.3,1.8
Ricardo Pereira,pt POR,DF,28-187,22,13,6,68,75,32,80.5,89.7,85.6,47.3,36,218,351,179,20,12,12,880,1,2,0.7,1.2
Boubakary Soumaré,fr FRA,MF,23-043,10,10,4,90,117,28,81.6,82.4,87.8,63.5,36,177,374,116,6,18,11,"1,036",0,1,0.4,0.2
Marc Albrighton,eng ENG,"FW,DF",32-144,16,9,7,87,130,46,61.7,85.2,64.5,20.7,32,140,249,204,9,15,10,997,1,1,0.5,1.3
Jonny Evans,nir NIR,DF,34-098,12,3,1,44,23,3,82.2,83.5,92,56.8,118,395,254,16,9,12,10,842,1,1,0.7,0.5
Kelechi Iheanacho,ng NGA,FW,25-190,2,7,2,12,84,86,77.5,84.8,82.1,45.8,8,35,210,200,49,21,9,933,3,5,3,2.5
Patson Daka,zm ZAM,FW,23-184,2,5,3,13,74,73,76.1,82.1,76.6,83.3,9,27,133,130,46,17,9,843,4,3,3.3,1.4
Jannik Vestergaard,dk DEN,DF,29-251,13,3,0,45,15,0,91.9,95.6,95.7,81.4,96,266,179,8,3,10,6,567,0,0,0.1,0
James Justin,eng ENG,DF,24-047,6,8,2,50,42,12,79.9,94.6,80.8,32.3,31,159,173,98,11,8,6,548,0,0,0.6,0.7
Nampalys Mendy,sn SEN,MF,29-292,2,3,0,15,22,7,96.1,95,98.7,100,10,70,139,14,0,5,4,344,0,0,0,0
Ryan Bertrand,eng ENG,DF,32-249,1,7,1,40,24,11,80.6,92.6,83.3,50,18,71,113,55,4,4,4,337,0,0,0,0.3
Hamza Choudhury,eng ENG,"DF,MF",24-192,3,5,0,15,24,3,81.6,88.6,82.5,70.8,18,98,111,6,1,6,4,285,0,0,0,0
Ayoze Pérez,es ESP,"FW,MF",28-262,0,3,0,11,33,12,80.6,85.4,72.7,83.3,2,14,62,39,14,8,3,220,0,2,1,0.7
Wesley Fofana,fr FRA,DF,21-115,1,0,0,3,0,0,86.2,100,87.9,64.3,11,45,36,2,2,1,1,90,0,0,0,0
Kasey McAteer,eng ENG,FW,20-140,0,0,0,0,2,2,100,100,0,0,1,1,0,1,0,1,0,3,0,0,0,0
Squad Total,,,27.2,275,233,67,1566,2037,917,80.2,88.1,87.4,54.6,2330,6812,8203,3858,624,29,319,"2,610",45,34,39.7,26.1
Opponent Total,,,27.5,207,206,81,1279,2063,1115,80.1,87.5,86.8,61.9,1832,5712,8414,5044,911,29,319,"2,610",47,30,49,31
